Game,Rating,Review_amount,Discount%,Price,Original_price,Release_year,Win,Lin,OSX,Time
Tom Clancy's Rainbow Six® Siege,8,304716,60,"7,99","19,99",2015,1,0,0,2019-10-28 10:29:52.229951
PLAYERUNKNOWN'S BATTLEGROUNDS,5,881898,50,"14,99","29,99",2017,1,0,0,2019-10-28 10:29:52.229951
MONSTER HUNTER: WORLD,6,78255,50,"29,99","59,99",2018,1,0,0,2019-10-28 10:29:52.229951
A Plague Tale: Innocence,8,4931,40,"26,99","44,99",2019,1,0,0,2019-10-28 10:29:52.229951
Dying Light,8,76188,66,"10,19","29,99",2015,1,1,1,2019-10-28 10:29:52.229951
HITMAN™ - Game of The Year Edition,6,19916,75,"17,91","71,91",,1,1,1,2019-10-28 10:29:52.229951
Dying Light Enhanced Edition,8,79693,70,"14,99","49,99",,1,1,1,2019-10-28 10:29:52.229951
Fallout 4,6,96380,60,"11,99","29,99",2015,1,0,0,2019-10-28 10:29:52.229951
HITMAN™,6,18982,0,0,0,2016,1,1,1,2019-10-28 10:29:52.229951
Assetto Corsa Ultimate Edition,8,19129,78,"17,39","79,88",,1,0,0,2019-10-28 10:29:52.229951
Two Point Hospital,8,8614,66,"11,89","34,99",2018,1,1,1,2019-10-28 10:29:52.229951
Tropico 6,8,4917,30,"34,99","49,99",2019,1,1,1,2019-10-28 10:29:52.229951
Assetto Corsa,8,17032,75,"5,--","19,99",2014,1,0,0,2019-10-28 10:29:52.229951
Dying Light / Left 4 Dead 2,9,253313,76,"14,13","58,18",,1,1,1,2019-10-28 10:29:52.229951
Dead by Daylight,6,162296,50,"9,99","19,99",2016,1,0,0,2019-10-28 10:29:52.229951
HELLDIVERS™ Dive Harder Edition,8,15316,50,"9,99","19,99",2015,1,0,0,2019-10-28 10:29:52.229951
Fallout 4: Game of the Year Edition,6,106556,60,"23,99","59,99",2015,1,0,0,2019-10-28 10:29:52.229951
PAYDAY 2,8,227912,50,"4,99","9,99",2013,1,1,0,2019-10-28 10:29:52.229951
Dishonored 2,8,15542,65,"13,99","39,99",2016,1,0,0,2019-10-28 10:29:52.229951
Fallout: New Vegas,9,57381,70,"2,99","9,99",2010,1,0,0,2019-10-28 10:29:52.229951
The Long Dark,8,48582,50,"12,49","24,99",2017,1,1,1,2019-10-28 10:29:52.229951
Left 4 Dead 2,9,173404,80,"1,63","8,19",2009,1,1,1,2019-10-28 10:29:52.229951
Atelier Ryza: Ever Darkness & the Secret Hideout,0,0,10,"53,99","59,99",2019,1,0,0,2019-10-28 10:29:52.229951
